Neighbourh,population_2023,median_age,median_family_income,unemploy_rate,postsecondary_grad,total_commute,commute_ttc
Moss Park,22207,35.6,105000,14.6,14350,5520,1505
Rouge,22396,44,124000,14.5,11025,6140,1200
Oakwood Village,22404,40.8,105000,12.6,9890,6445,2485
Thorncliffe Park,22508,34,74500,17.9,8205,4960,1465
Kingsview Village-The Westway,22759,38.8,91000,18.1,8895,6700,1410
Henry Farm,22782,32.8,93000,13.7,12730,5895,2110
Church-Yonge Corridor,22938,33.6,96000,15.6,16740,5640,1850
East End-Danforth,23011,40.8,130000,12.9,12125,5505,1640
Black Creek,23047,37.6,76000,19.5,5990,6520,1910
Rosedale-Moore Park,23053,50,200000,9.4,14160,3900,1015
South Parkdale,23054,37.2,84000,17.3,11105,6535,2740
The Beaches,23097,43.6,172000,11,13065,4690,835
Yonge-Doris,23234,38,86000,12.8,13910,4925,1640
Birchcliffe-Cliffside,23417,44.4,123000,14.9,11710,6365,1190
Rockcliffe-Smythe,23453,42,91000,14.2,8215,7105,1925
Flemingdon Park,23485,36,81000,16.5,9915,6400,2095
Willowridge-Martingrove-Richview,24097,44.4,111000,14.3,10850,6445,1165
Eglinton East,24231,38.8,85000,17.1,9620,7075,2450
L'Amoreaux,24374,47.6,92000,15.8,10520,6085,1300
Englemount-Lawrence,24465,38.4,102000,12.6,9935,6335,2155
High Park North,24474,39.2,120000,13.1,14680,5760,2165
Etobicoke City Centre,25495,36.4,106000,11.1,15035,7985,2455
Bedford Park-Nortown,25583,44,198000,10.4,12830,5470,995
Bayview Village,25685,39.2,105000,13.7,15375,5715,1335
Islington-City Centre West,25937,43.6,125000,13,13125,6605,1210
High Park-Swansea,26135,40.8,147000,11.2,14535,5495,1420
Junction-Wallace Emerson,26240,37.6,112000,14,11850,6925,2275
Newtonbrook West,26265,42,88000,13.7,13810,8000,2925
Dorset Park,26286,40.4,92000,14.5,10825,7970,2465
Steeles,26395,49.2,87000,18.6,9970,5620,765
Stonegate-Queensway,26728,43.6,140000,12,14565,7105,1360
Westminster-Branson,27742,44,90000,15.5,14320,8880,3120
Agincourt South-Malvern West,28097,40.8,88000,14.4,11725,7520,1630
Malvern,28098,38,92000,17.5,7510,5825,1415
Morningside Heights,28167,38,120000,15,10305,8520,1320
Milliken,28371,46,83000,19,9035,6495,955
Clairlea-Birchmount,28782,39.2,103000,14.9,12735,8470,2800
Wellington Place,28870,30.8,138000,7.8,21470,6180,1290
West Hill,29259,40,95000,16.9,12335,8825,2350
Don Valley Village,29424,41.2,95000,15.1,15485,7550,2205
Woburn,29500,36.4,88000,16.7,11065,8390,2165
Mount Pleasant West,29658,40,120000,9.7,18583,4260,2100
Tam O'Shanter-Sullivan,29770,44,92000,15.6,13500,7770,1885
Wexford/Maryvale,29870,41.2,99000,16.1,12945,9300,2290
York University Heights,29897,35.6,87000,16.4,12680,9995,3435
South Riverdale,30135,38.8,137000,13,15980,6925,1725
St Lawrence-East Bayfront-The Islands,31003,35.2,124000,10.8,23820,7585,1665
Banbury-Don Mills,31047,48.4,119000,10.5,16420,6835,1145
Niagara,31180,34,120000,8.6,13440,2400,875
Agincourt North,31260,46.4,91000,17.3,11915,7895,1465
Harbourfront-CityPlace,31477,32,118000,10.3,22210,6790,1635
Glenfield-Jane Heights,32251,40,82000,19.1,8615,9850,2720
Annex,34502,39.6,144000,11.6,21220,7175,1760
Mount Olive-Silverstone-Jamestown,35386,36,84000,17.7,10755,10125,2235
West Humber-Clairville,36388,38,104000,14.3,10188,12920,3110
Willowdale East,50434,41.2,113000,13.5,30260,3490,825
Waterfront Communities-The Island,65913,30.4,118000,9.7,46139,7800,3469
